number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_weight_decay,state
0,0.1664678156375885,2026-05-04 22:30:46.868500,2026-05-04 22:31:41.089369,0 days 00:00:54.220869,0.001854531604666983,0.00044455904597409673,COMPLETE
1,0.26683586835861206,2026-05-04 22:31:41.089982,2026-05-04 22:33:07.410041,0 days 00:01:26.320059,0.00017295378882269802,0.008779032098022818,COMPLETE
2,0.18472063541412354,2026-05-04 22:33:07.410041,2026-05-04 22:34:01.186938,0 days 00:00:53.776897,0.0008720123911046953,3.166496465260791e-06,COMPLETE
3,0.2268051952123642,2026-05-04 22:34:01.186938,2026-05-04 22:35:45.604610,0 days 00:01:44.417672,0.00021949592655425655,1.0651232527321252e-05,COMPLETE
4,0.2364487648010254,2026-05-04 22:35:45.604610,2026-05-04 22:37:25.513511,0 days 00:01:39.908901,0.0002497164484986484,0.0018237049661525362,COMPLETE
5,0.2041957825422287,2026-05-04 22:37:25.513511,2026-05-04 22:39:04.642608,0 days 00:01:39.129097,0.00033816213109912925,0.0008691316202065079,COMPLETE
6,0.16621164977550507,2026-05-04 22:39:04.642608,2026-05-04 22:39:54.991281,0 days 00:00:50.348673,0.001213121397218529,0.0020074817826245327,COMPLETE
7,0.1652562916278839,2026-05-04 22:39:54.991281,2026-05-04 22:40:50.351428,0 days 00:00:55.360147,0.0015435312235389442,1.053809851988176e-05,COMPLETE
8,0.18943805992603302,2026-05-04 22:40:50.351428,2026-05-04 22:41:30.402881,0 days 00:00:40.051453,0.002818554942504257,0.00024511372472793493,COMPLETE
9,0.21845898032188416,2026-05-04 22:41:30.402881,2026-05-04 22:42:12.242781,0 days 00:00:41.839900,0.0062555641743672,1.384760160259709e-05,COMPLETE
